Name,Value
DASHCAM_driveRemoved,false
DASMapDbg_CSASource,
DASMapDbg_CurrentGeohash,
DASMapDbg_DbEntrySelected,false
DASMapDbg_DbFilesLoaded,false
DASMapDbg_DbFitSuccessful,false
DASMapDbg_DbIntegrationSuccess,false
DASMapDbg_NumPointsToPolyFit,0.000
DASMapDbg_adasAppDebugTrigger,0
DASMapDbg_autoParkAvailability,
DASMapDbg_autosteerRestricted,false
DASMapDbg_blacklistSource,
DASMapDbg_controlPointHeading,0.000
DASMapDbg_controlPointLat,0.000
DASMapDbg_controlPointLon,0.000
DASMapDbg_controlledAccess,false
DASMapDbg_csaCurvHealth,0
DASMapDbg_csaCurvMapFitRoadAngle,0.000
DASMapDbg_csaCurvMapFitRoadDistance,0.000
DASMapDbg_csaCurvPolyC1,0.000
DASMapDbg_csaCurvPolyC2,0.000
DASMapDbg_csaCurvPolyC3,0.000
DASMapDbg_csaCurvValid,false
DASMapDbg_csaMppPt0X,0.000
DASMapDbg_csaMppPt0Y,0.000
DASMapDbg_csaMppPt1X,0.000
DASMapDbg_csaMppPt1Y,0.000
DASMapDbg_csaMppPt2X,0.000
DASMapDbg_csaMppPt2Y,0.000
DASMapDbg_csaMppPt3X,0.000
DASMapDbg_csaMppPt3Y,0.000
DASMapDbg_csaMppPt4X,0.000
DASMapDbg_csaMppPt4Y,0.000
DASMapDbg_csaMppPt5X,0.000
DASMapDbg_csaMppPt5Y,0.000
DASMapDbg_csaMppVehicleSORX,0.000
DASMapDbg_csaMppVehicleSORY,0.000
DASMapDbg_currentlySendingDatabaseValues,false
DASMapDbg_curvatureHealth,2
DASMapDbg_curvatureMapFitRoadAngle,41.868
DASMapDbg_curvatureMapFitRoadDistance,-7.793
DASMapDbg_curvaturePolyC1,0.896
DASMapDbg_curvaturePolyC2,-0.002
DASMapDbg_curvaturePolyC3,-0.000
DASMapDbg_curvatureTrigger,0
DASMapDbg_curvatureValid,true
DASMapDbg_distanceToControlPoint,0.000
DASMapDbg_distanceToEndOfNextRadarTarget,0.000
DASMapDbg_distanceToNextRadarTarget,0.000
DASMapDbg_fleetAcceleration,0.000
DASMapDbg_fleetSpeed,0.000
DASMapDbg_geometrySource,
DASMapDbg_gpsHeading,0.000
DASMapDbg_gpsLat,0.000
DASMapDbg_gpsLon,0.000
DASMapDbg_headingDiffToControlPoint,0.000
DASMapDbg_heightOfNextRadarTarget,0.000
DASMapDbg_highestVehicleSpeedReachedMPH,0.000
DASMapDbg_hmmSplineProbability,0.000
DASMapDbg_integratedGpsHeading,0.000
DASMapDbg_integratedGpsLat,0.000
DASMapDbg_integratedGpsLon,0.000
DASMapDbg_metaDataSource,
DASMapDbg_metersSuppressingSpeedRestriction,0.000
DASMapDbg_neverCloseToMap,false
DASMapDbg_nextBranchDistanceInMeters,0.000
DASMapDbg_nextBranchOffRampSide,
DASMapDbg_offrampCurvHealth,0
DASMapDbg_offrampCurvMapFitRoadAngle,0.000
DASMapDbg_offrampCurvMapFitRoadDistance,0.000
DASMapDbg_offrampCurvPolyC1,0.000
DASMapDbg_offrampCurvPolyC2,0.000
DASMapDbg_offrampCurvPolyC3,0.000
DASMapDbg_offrampCurvValid,false
DASMapDbg_onHighway,false
DASMapDbg_pedalMisapplicationMitigationAvailability,
DASMapDbg_pedalMisapplicationMitigationEnabled,false
DASMapDbg_radarBrakingEnabled,false
DASMapDbg_ramp_type,
DASMapDbg_recentLargeHeadingChange,false
DASMapDbg_roadClass,0
DASMapDbg_speedLimit,0.000
DASMapDbg_speedLimitUnitsMetric,false
DASMapDbg_tValLat,0.000
DASMapDbg_tValLon,0.000
DASMapDbg_tileBlacklistAvailable,false
DASMapDbg_tileCenterTileVersion,
DASMapDbg_tileCenterTileVersionPlusSchema,
DASMapDbg_tileCurrentHash,
DASMapDbg_tileDataValid,false
DASMapDbg_tileDistanceFromSpline,0.000
DASMapDbg_tileNearestSpline,0
DASMapDbg_tileSplineT,0.000
DASMapDbg_tileSplineWidth,0.000
DASMapDbg_tileTrust,0.000
DASMapDbg_trustRadarMap,false
DASMapDbg_tunnel,false
DAS_ACC_report,TargetNone
DAS_accSpeedLimit,0.000
DAS_accState,CancelGeneric
DAS_autoEmergencyBraking,false
DAS_autoLaneChangeState,<invalid>
DAS_autoparkReady,false
DAS_autopilotAbortReason,<invalid>
DAS_autopilotActivationFailure,Idle
DAS_autopilotHandsOnState,NotRequired
DAS_autopilotState,Unavailable
DAS_autosteerBottsDotsUsage,<invalid>
DAS_autosteerHPPUsage,<invalid>
DAS_autosteerHealthAnomalyLevel,0
DAS_autosteerHealthState,<invalid>
DAS_autosteerMIA,false
DAS_autosteerModelUsage,<invalid>
DAS_autosteerNavigationUsage,<invalid>
DAS_autosteerVehiclesUsage,<invalid>
DAS_behaviorReport,<invalid>
DAS_behaviorType,<invalid>
DAS_blindSpotRearLeft,NoWarning
DAS_blindSpotRearRight,NoWarning
DAS_constructionZone,false
DAS_controlDistance,0.000
DAS_controllerHealth,<invalid>
DAS_controllerRef,<invalid>
DAS_cruiseCutInVehicleDistance,0.000
DAS_cruiseCutInVehicleID,0
DAS_cruiseCutInVehicleLatPosition,0.000
DAS_cruiseCutInVehicleRelVelocity,0.000
DAS_cruiseCutInVehicleRelevantForControl,false
DAS_cruiseCutInVehicleType,<invalid>
DAS_cruiseHold,false
DAS_cruiseLeadVehicle2Distance,0.000
DAS_cruiseLeadVehicle2ID,0
DAS_cruiseLeadVehicle2LatPosition,0.000
DAS_cruiseLeadVehicle2RelVelocity,0.000
DAS_cruiseLeadVehicle2RelevantForControl,false
DAS_cruiseLeadVehicle2Type,<invalid>
DAS_cruiseLeadVehicleDistance,0.000
DAS_cruiseLeadVehicleID,0
DAS_cruiseLeadVehicleLatPosition,0.000
DAS_cruiseLeadVehicleRelVelocity,0.000
DAS_cruiseLeadVehicleRelevantForControl,false
DAS_cruiseLeadVehicleType,<invalid>
DAS_cruiseLeftVehicle2Distance,0.000
DAS_cruiseLeftVehicle2ID,0
DAS_cruiseLeftVehicle2LatPosition,0.000
DAS_cruiseLeftVehicle2RelVelocity,0.000
DAS_cruiseLeftVehicle2RelevantForControl,false
DAS_cruiseLeftVehicle2Type,<invalid>
DAS_cruiseLeftVehicleDistance,0.000
DAS_cruiseLeftVehicleID,0
DAS_cruiseLeftVehicleLatPosition,0.000
DAS_cruiseLeftVehicleRelVelocity,0.000
DAS_cruiseLeftVehicleRelevantForControl,false
DAS_cruiseLeftVehicleType,<invalid>
DAS_cruiseRightVehicle2Distance,0.000
DAS_cruiseRightVehicle2ID,0
DAS_cruiseRightVehicle2LatPosition,0.000
DAS_cruiseRightVehicle2RelVelocity,0.000
DAS_cruiseRightVehicle2RelevantForControl,false
DAS_cruiseRightVehicle2Type,<invalid>
DAS_cruiseRightVehicleDistance,0.000
DAS_cruiseRightVehicleID,0
DAS_cruiseRightVehicleLatPosition,0.000
DAS_cruiseRightVehicleRelVelocity,0.000
DAS_cruiseRightVehicleRelevantForControl,false
DAS_cruiseRightVehicleType,<invalid>
DAS_cruiseSnapSpeed,0
DAS_csaState,Unavailable
DAS_driverInteractionLevel,DriverInteracting
DAS_factorySummonStatus,<invalid>
DAS_fleetSpeedState,Unavailable
DAS_hazardsRequest,false
DAS_highLowBeamDecision,<invalid>
DAS_intelligentSpeedAssist,<invalid>
DAS_laneChangeState,<invalid>
DAS_laneDepartureWarning,
DAS_lastAutosteerAbortReason,<invalid>
DAS_lastKnownPhoneGpsAccuracy,0
DAS_lastKnownPhoneGpsLocation,@invalid
DAS_lastLinePreferenceReason,<invalid>
DAS_lastWatchdogCode,<invalid>
DAS_leftFork,None
DAS_leftLaneExists,true
DAS_leftLineUsage,None
DAS_localizerHealth,<invalid>
DAS_longCollisionWarning,None
DAS_lssState,Fault
DAS_manualSpeedAssist,<invalid>
DAS_mapAvailability,false
DAS_missionPlan,<invalid>
DAS_navAvailable,false
DAS_navDistance,0
DAS_offsetSide,<invalid>
DAS_plannerState,<invalid>
DAS_radarTelemetryTrigger,Idle
DAS_regulatorySpeedAssist,None
DAS_rightFork,None
DAS_rightLaneExists,true
DAS_rightLineUsage,None
DAS_roadEstimator,<invalid>
DAS_roadSignColor,<invalid>
DAS_roadSignControlActive,false
DAS_roadSignId,<invalid>
DAS_roadSignSource,<invalid>
DAS_roadSignStopLineDist,0.000
DAS_roadSurfaceType,<invalid>
DAS_rqstedBehaviorStatus,<invalid>
DAS_setSpeed,0.000
DAS_sideCollisionAvoid,None
DAS_sideCollisionInhibit,true
DAS_sideCollisionWarning,None
DAS_signSpeedLimit,0
DAS_summonAvailable,true
DAS_summonClearedGate,false
DAS_summonObstacle,false
DAS_suppressSpeedWarning,false
DAS_ulcInProgress,false
DAS_ulcType,<invalid>
DAS_visionOnlySpeedLimit,0
DIS_debugEnable,false
DI_autoparkState,<invalid>
DI_debugEnable,false
DI_parkBrakePanic,false
DI_summonInPanic,false
DI_trailerDetected,false
DOOR_closeAllStatus,<invalid>
DOOR_falconDoorStatusDriver,<invalid>
DOOR_falconDoorStatusPassenger,<invalid>
DOOR_falconDriverCalibrationRequired,false
DOOR_falconDriverChimeRequest,<invalid>
DOOR_falconDriverMaxHeight,0
DOOR_falconDriverObstacle,<invalid>
DOOR_falconDriverQuickOpenAvailable,false
DOOR_falconDriverQuickOpening,false
DOOR_falconIndoorMode,false
DOOR_falconPassengerCalibrationRequired,false
DOOR_falconPassengerChimeRequest,<invalid>
DOOR_falconPassengerMaxHeight,0
DOOR_falconPassengerObstacle,<invalid>
DOOR_falconPassengerQuickOpenAvailable,false
DOOR_falconPassengerQuickOpening,false
DOOR_frontDriverLatch,<invalid>
DOOR_frontDriverMoving,false
DOOR_frontDriverNextAction,<invalid>
DOOR_frontDriverPercentOpen,0
DOOR_frontPassengerLatch,<invalid>
DOOR_frontPassengerMoving,false
DOOR_frontPassengerNextAction,<invalid>
DOOR_frontPassengerPercentOpen,0
DOOR_frontTrunkLatch,<invalid>
DOOR_powerLiftGateChimeRequest,<invalid>
DOOR_powerLiftGateStatus,<invalid>
DOOR_rearDriverLatch,<invalid>
DOOR_rearPassengerLatch,<invalid>
DOOR_rearTrunkLatch,<invalid>
EAS_allowedLevels,<invalid>
EAS_currentLevel,VeryHigh
EAS_jackModeLamp,false
EAS_levelingNotAllowed,false
EAS_levelingNotPossible,false
EAS_limpMode,None
EAS_mode,Ready
EAS_spinner,false
EAS_systemDisabled,false
EAS_targetLevel,VeryHigh
EBHZN_currentBranchIsAutosteerRestricted,false
EBHZN_currentBranchIsControlledAccess,false
EBHZN_currentBranchIsRamp,false
EBHZN_currentBranchRoadClass,0
EBHZN_dasBranchTrigger,0
EBHZN_externalRouteLastUpdated,
EBHZN_nextBranchDistanceInMeters,0.000
EBHZN_nextBranchOffRampToLeft,false
EBHZN_nextBranchOffRampToRight,false
EBHZN_speedLimit,0
EBHZN_speedLimitUnits,<invalid>
EBNKMAP_3DMode,false
EBNKMAP_autoRefreshEnabled,false
EBNKMAP_autoZoomEnabled,false
EBNKMAP_dayMode,false
EBNKMAP_mapInitialized,false
EBNKMAP_mapScreenHeight,0
EBNKMAP_mapScreenWidth,0
EBNKMAP_mapVisible,false
EBNKNAV_readyToRestart,false
EB_estimatedGPSValid,false
EB_estimatedGeoTimestamp,0.000
EB_estimatedHdg,0.000
EB_estimatedLat,0.000
EB_estimatedLon,0.000
EB_initializedCD,false
EB_initializedIC,false
EB_mapCenter,@invalid
EB_mapMoving,false
EB_mapRelease,
EB_mapRotation,0.000
EB_mapTags,
EB_navLanguage,0
EB_resolution,0.000
EB_sdkVersion,
EB_startupTimeCD,0
EB_startupTimeIC,0
EB_trafficDisplayInitialized,false
EB_trafficInitialized,false
EB_windowHeight,0
EVLatestThirtyMiles,QN4DpmZmZmYBSgCm/+//xgG4AsACDgTvAZ0GEgCRAj7/pAAh/eoCKgGTA08CiASzAaQEPAGOAN0Ay//BATgAYQHqAW0FmAD3AsIAff/+AS0C2AEb/ksB9wIfAl8A8v72ALgBzQGMA3ACsgCi/uj9+QEPAHX+EQOoAN7/FgM8AmcCGgBDASMBEAHBAVD/xgCGAR7/6gKEAMEAuQE8ASQDHQJWATUA5gILAd0BrwMLAYkBBAIpAmoDDwObAmwBMgFj/rj9bP+XASUBagIm/tf/lQHLAhn9iwBoAl0BNwK0AesAdAEwAK7+BQGqAMsAoQEgAcACNwCh/o0AXwLjAWMA2wCAAE8BrAGwAHkAQwECAPEBPgH7ABoAagDyAdoAdf26AnMBJwEZAakAmgB7AW4AUQDMAUYAgv8lASEBqgJTAjMGFAH4AHEBAwDZAg8BoADkATQBIgFcAVQCpAGF//j/6wJAAbMCqwEC/1IAtwCpAIsAwQDgAJ0BbQH7AZIBgwFuAPcBPQEK//kA8AETADAECgBg/xD83P8ZBJgApglWAsMBl/8Q/WoARwAlAlsBBwSgBpMBggCh/pb/tAA9AO3/2QKCApj/0wFjBpMBxAHbAiACEAD7AdQB0QR4ADL/GABYALT/CgA9/0MAXQCMAbEAPQJAAZwBvgGEAcwB+wE/AScBhQEtAXYA4gE6Ad4BLwIQAOkAif+o/3H//wIbAiABWAFC/1gB3AJo/Yz/m/98AIwCugG1AZMCGwHKAt8CUwF3AXoB3gHrAvQBsAAN/5sBZgKVAGT+6f8Y+xn99f9zAEUBQAPTA7gCJgGCAW4BWgDNA4oAe/+4/sgBkgLOAEICbQETAOcDiQJTAX//xwK+AR8DCgHPAw8FYwHq/68Bfw==
EV_KmsUpTo50,48.280
EV_MilesUpTo30,0.000
EV_WhpkLast10,195.939
EV_WhpkLast25,191.743
EV_WhpkLast50,0.000
EV_WhpkUpTo50,194.586
EV_Whpm1MiMedian,476.500
EV_Whpm2MiMedian,432.500
EV_Whpm3MiMedian,394.000
EV_WhpmLast10,296.900
EV_WhpmLast15,315.733
EV_WhpmLast20,309.350
EV_WhpmLast30,298.133
EV_WhpmLast5,336.800
EV_WhpmLastTenth,383.239
EV_WhpmSendIt,true
EV_WhpmUpTo30,0.000
EV_currentKnownLocation,None
EV_last30AveragePower,0.000
EV_last30EnergyWeightedDrivePower,38699.473
EV_rangeCalc_Miles,0.000
EV_rangeCalc_Start,0.000
EV_rangeCalc_kWh,0.000
EV_rangeCalc_whpm,0.000
EV_serviceStarted,true
EV_tripA_Miles,3953.012
EV_tripA_Start,26781.628
EV_tripA_kWh,1497.892
EV_tripA_whpm,378.924
EV_tripB_Miles,30713.794
EV_tripB_Start,20.846
EV_tripB_kWh,10991.651
EV_tripB_whpm,357.873
EV_tripCharge_Miles,30.263
EV_tripCharge_Start,30704.377
EV_tripCharge_kWh,9.256
EV_tripCharge_whpm,305.848
EV_tripCurrent_EndTime,Wed Jun 12 20:39:16 2019
EV_tripCurrent_Miles,0.000
EV_tripCurrent_Start,30734.640
EV_tripCurrent_StartTime,Wed Jun 12 20:39:09 2019
EV_tripCurrent_kWh,0.000
EV_tripCurrent_whpm,0.000
EV_tripSendIt,false
FEATURE_allowVinInChargingTelemetry,true
FEATURE_autoFoldMirrorsEnabled,true
FEATURE_autopilotStopAlerting,true
FEATURE_blindspotWarningEnabled,true
FEATURE_browserEnabled,true
FEATURE_calendarEnabled,true
FEATURE_cameraEnabled,true
FEATURE_chargeLimitMax,100
FEATURE_dasDriveOnNavEnabled,true
FEATURE_dasDriveOnNavMapsOkay,true
FEATURE_dasLaneSupportSystemEnabled,false
FEATURE_dasNoConfirmULCEnabled,false
FEATURE_driverProfilesEnabled,true
FEATURE_earlyWaveCellNetworkingOk,false
FEATURE_eggWotEnabled,false
FEATURE_homelinkEnabled,true
FEATURE_laneDepartureWarningEnabled,true
FEATURE_mobileAccessEnabled,true
FEATURE_navigationEnabled,true
FEATURE_navigationServiceConfig,
FEATURE_navigationServiceMode,primary
FEATURE_navigationServiceURL,
FEATURE_parkAssistEnabled,true
FEATURE_paymentNeeded,false
FEATURE_satelliteMapTilesEnabled,true
FEATURE_streamingRadioEnabled,true
FEATURE_superchargingEnabled,true
FEATURE_trafficMapTilesEnabled,true
FEATURE_tvoiceDisabled,true
FEATURE_vectorMapTilesEnabled,true
FILESYNC_status,{"nav_us":{"state":"idle","pct":0,"rsync_exit_code":-2,"current_version":"NA-180906-1605","target_version":"NA-180906-1605"}}
FILESYNC_toolboxTrigger,""
GMAP_cachedLoadCounter,0
GMAP_networkLoadCounter,0
GTW_chargeState,Disconnected
GTW_offboardUpdateState,WaitConnection
GTW_offboardUpdateStatus,Ok
GUI_007Mode,false
GUI_24hourTime,false
GUI_AutopilotTrialEndHard,
GUI_AutopilotTrialEndSoft,
GUI_AutopilotTrialOptedOut,false
GUI_AutopilotTrialVersion,
GUI_HoHoHoMode,0
GUI_PINToDriveEnabled,false
GUI_PINToDrivePassed,true
GUI_PINToDriveRequest,false
GUI_ROBenableRadarBraking,Default
GUI_ROBinfrastructure,Default
GUI_ROBtrustRadarMap,Default
GUI_STWControlsMode,Normal
GUI_TPMSFrontRCPOverride,0.000
GUI_TPMSOverrideResult,None
GUI_TPMSRearRCPOverride,0.000
GUI_UMCUpdateInhibit,false
GUI_USBError,false
GUI_WCUpdateInhibit,true
GUI_accFollowDistance,1
GUI_accFromZero,false
GUI_accOvertakeOnRequest,true
GUI_acceptedTelemetryAgreement,true
GUI_activeApps,@nav
